,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
62,naze,12,NG,1546568182,90,5.43,7.07,73.31,4.74
63,tual,76,ID,1546568183,100,-5.67,132.75,81.45,13.8
64,tuktoyaktuk,90,CA,1546563600,92,69.44,-133.03,5.0,3.36
65,stilfontein,80,ZA,1546568185,97,-26.84,26.78,62.1,6.87
66,cherskiy,68,RU,1546568186,79,68.75,161.3,-18.36,5.86
67,tigzirt,92,DZ,1546568186,100,36.57,4.2,43.3,1.83
68,porto novo,75,BR,1546567200,100,-23.68,-45.44,71.6,4.7
69,cantavir,0,RS,1546566300,85,45.92,19.76,24.8,10.29
70,necochea,0,AR,1546568189,66,-38.55,-58.74,59.81,7.54
71,ilhabela,56,BR,1546568189,90,-23.78,-45.36,80.37,7.76
72,kutulik,44,RU,1546568190,74,53.35,102.79,-11.83,4.18
73,ribeira grande,92,PT,1546568191,99,38.52,-28.7,62.73,18.16
74,san pedro,0,AR,1546568192,77,-33.68,-59.66,59.72,7.87
75,vradiyivka,20,UA,1546568193,73,47.86,30.59,12.33,3.4
76,guilin,90,CN,1546563600,93,25.28,110.29,42.8,6.71
77,upernavik,92,GL,1546568195,100,72.79,-56.15,15.08,11.68
78,abaete,76,BR,1546567942,85,-19.16,-45.45,71.65,2.73
79,ulladulla,0,AU,1546563600,48,-35.36,150.48,86.0,10.29
80,bubaque,8,GW,1546568197,100,11.28,-15.83,77.58,10.22
81,nizhnevartovsk,90,RU,1546565400,92,60.93,76.58,15.8,13.42
82,bredasdorp,24,ZA,1546567200,93,-34.53,20.04,59.0,2.24
83,carnarvon,0,ZA,1546568198,58,-30.97,22.13,59.9,4.97
84,beitbridge,92,ZA,1546568199,93,-22.21,29.99,68.14,11.34
85,atuona,68,PF,1546568200,100,-9.8,-139.03,81.0,13.35
86,new norfolk,0,AU,1546565940,42,-42.78,147.06,82.4,17.22
87,hobart,0,AU,1546565940,42,-42.88,147.33,82.4,17.22
88,hasaki,20,JP,1546565400,39,35.73,140.83,44.6,5.82
89,arraial do cabo,20,BR,1546563600,78,-22.97,-42.02,78.8,4.7
90,albany,90,US,1546566720,69,42.65,-73.75,35.06,5.82
91,plettenberg bay,0,ZA,1546568219,99,-34.05,23.37,64.58,5.3
92,tabas,0,IR,1546563600,76,33.6,56.92,48.2,4.7
93,chuy,8,UY,1546568220,89,-33.69,-53.46,60.04,8.1
94,butaritari,92,KI,1546568221,100,3.07,172.79,83.3,15.59
95,turtas,76,RU,1546568222,90,58.94,69.13,18.45,6.76
96,khatanga,64,RU,1546567931,69,71.98,102.47,-1.39,9.78
97,kampot,75,KH,1546565400,83,10.62,104.18,77.0,17.22
98,puksoozero,68,RU,1546568224,83,62.59,40.61,15.94,6.08
99,nadym,92,RU,1546568224,88,65.53,72.51,18.9,14.14
100,hambantota,5,LK,1546564200,100,6.12,81.12,71.6,6.93
101,cabo san lucas,75,MX,1546562400,68,22.89,-109.91,66.2,3.36
102,codrington,0,AU,1546567200,40,-28.95,153.24,87.8,8.05
103,tasiilaq,92,GL,1546566600,96,65.61,-37.64,35.6,31.09
104,saint-francois,0,FR,1546565400,92,46.42,3.91,23.0,2.24
105,komsomolskiy,76,RU,1546568228,80,67.55,63.78,8.1,7.65
106,cidreira,100,BR,1546568229,100,-30.17,-50.22,69.57,8.77
107,khvoynaya,80,RU,1546568229,89,58.9,34.53,26.51,4.18
108,henties bay,8,NA,1546568230,98,-22.12,14.28,62.51,8.1
109,geraldton,90,CA,1546564620,86,49.72,-86.95,28.4,9.17
110,lakatoro,36,VU,1546568232,74,-16.11,167.42,84.65,10.0
111,georgetown,40,GY,1546563600,78,6.8,-58.16,80.6,9.17
112,saint-philippe,90,CA,1546566900,92,45.36,-73.48,23.0,8.05
113,pisco,75,PE,1546563600,83,-13.71,-76.2,71.6,12.75
114,kaunas,90,LT,1546566600,79,54.9,23.9,23.0,8.05
115,makinsk,68,KZ,1546568236,63,52.63,70.42,-8.23,3.18
116,sing buri,44,TH,1546568237,56,14.89,100.4,80.33,13.35
117,kalmeshwar,0,IN,1546565400,71,21.24,78.91,55.4,3.85
118,scarborough,0,GB,1546566600,74,54.28,-0.41,35.6,4.7
119,north myrtle beach,90,US,1546567620,96,33.83,-78.68,60.08,3.36
120,lebu,32,ET,1546563600,70,8.96,38.73,48.2,9.17
121,thompson,5,CA,1546563600,92,55.74,-97.86,23.0,11.41
122,tyrma,64,RU,1546568241,59,50.04,132.17,-7.38,2.95
123,taoudenni,0,ML,1546568241,53,22.68,-3.98,44.29,10.22
124,leningradskiy,44,RU,1546568242,88,69.38,178.42,-10.26,15.26
125,maryborough,0,AU,1546568243,40,-25.54,152.7,88.39,6.42
126,qaanaaq,0,GL,1546568243,66,77.48,-69.36,-4.91,8.21
127,finote selam,0,ET,1546568245,76,10.7,37.27,42.8,2.51
128,innisfail,75,CA,1546563600,79,52.02,-113.95,26.6,6.93
129,mosetse,76,BW,1546568246,92,-20.64,26.64,65.12,11.79
130,balkanabat,92,TM,1546568247,94,39.51,54.36,31.82,2.39
131,barrow,0,AR,1546568262,48,-38.31,-60.23,61.52,10.67
132,saskylakh,64,RU,1546568263,66,71.97,114.09,-0.77,10.67
133,khandbari,0,NP,1546568263,50,27.38,87.21,17.51,1.61
134,port-gentil,92,GA,1546568264,98,-0.72,8.78,80.06,2.06
135,tiksi,36,RU,1546568265,56,71.64,128.87,-5.72,19.95
136,nybro,68,SE,1546566600,80,56.75,15.91,32.0,10.29
137,maputo,75,MZ,1546563600,88,-25.97,32.57,69.8,12.75
138,hithadhoo,68,MV,1546568267,100,-0.6,73.08,81.23,12.12
139,darhan,0,MN,1546568268,22,49.49,105.92,-16.61,2.95
140,dmanisi,32,GE,1546568268,78,41.33,44.2,15.94,4.63
141,georgiyevka,80,RU,1546568269,91,52.25,40.45,26.06,3.29
142,rantepao,48,ID,1546568270,85,-2.97,119.9,77.14,2.39
143,te anau,88,NZ,1546568271,54,-45.41,167.72,61.43,8.21
144,pueblo nuevo,8,MX,1546568271,69,23.99,-106.96,61.93,3.62
145,kalmunai,0,LK,1546568272,92,7.42,81.82,75.38,6.64
146,rocha,0,UY,1546568273,81,-34.48,-54.34,54.5,3.74
147,danielskuil,0,ZA,1546568273,87,-28.19,23.54,62.51,15.48
148,aykhal,8,RU,1546568274,64,65.95,111.51,-15.03,5.97
149,zirandaro,24,MX,1546568275,77,18.45,-100.98,65.12,2.28
150,kalamare,44,BW,1546568277,96,-22.93,26.57,61.83,10.78
151,manyana,0,AU,1546563600,48,-35.26,150.51,86.0,10.29
152,vao,88,EE,1546568279,86,59.1,26.19,15.49,5.86
153,yellowknife,40,CA,1546563600,77,62.45,-114.38,3.2,13.87
154,yerbogachen,68,RU,1546568280,65,61.28,108.01,-8.91,8.32
155,kumta,0,IN,1546568280,86,14.42,74.4,71.6,6.64
156,ixtapa,90,MX,1546566120,100,20.71,-105.21,71.6,1.39
157,artyom,8,RU,1546565400,66,43.36,132.19,12.2,2.24
158,christchurch,12,NZ,1546565400,64,-43.53,172.64,69.8,16.11
159,bluff,0,AU,1546568283,40,-23.58,149.07,92.07,12.91
160,karratha,0,AU,1546568283,38,-20.74,116.85,96.75,11.34
161,kavieng,68,PG,1546568284,100,-2.57,150.8,84.79,15.03
162,kodiak,1,US,1546565700,51,39.95,-94.76,35.6,10.29
163,kuala terengganu,75,MY,1546563600,94,5.33,103.14,77.0,3.36
164,kahului,40,US,1546563360,54,20.89,-156.47,82.04,19.46
165,paamiut,80,GL,1546568286,100,61.99,-49.67,27.27,22.3
166,playas,88,EC,1546568287,93,-2.64,-80.39,73.76,4.97
167,pitimbu,20,BR,1546563600,83,-7.47,-34.81,77.0,5.82
168,safford,1,US,1546566660,88,32.83,-109.71,30.92,5.82
169,ratnapura,0,IN,1546568289,74,17.9,77.63,61.97,3.06
170,roald,92,NO,1546566600,93,62.58,6.12,44.6,21.92
171,fortuna,0,ES,1546565400,93,38.18,-1.13,42.8,5.82
172,koraput,0,IN,1546568306,69,18.81,82.72,59.58,1.61
173,vuktyl,80,RU,1546568307,88,63.86,57.31,19.58,4.74
174,skibbereen,75,IE,1546567200,81,51.55,-9.27,42.8,12.75
175,berlevag,88,NO,1546568308,100,70.86,29.09,19.67,4.85
176,roebourne,0,AU,1546568309,38,-20.77,117.15,96.75,11.34
177,broken hill,0,AU,1546563600,14,-31.97,141.45,104.0,14.99
178,nanortalik,92,GL,1546568310,87,60.14,-45.24,34.25,28.9
179,kununurra,24,AU,1546565400,94,-15.77,128.74,75.2,13.87
180,irupi,24,BR,1546568311,92,-20.35,-41.64,65.8,1.28
181,alice springs,0,AU,1546565400,11,-23.7,133.88,104.0,8.05
182,varzelandia,8,BR,1546568312,57,-15.7,-44.03,68.0,5.41
183,graaff-reinet,0,ZA,1546568313,90,-32.25,24.53,51.85,1.39
184,mahebourg,40,MU,1546567200,94,-20.41,57.7,77.0,2.24
185,giovinazzo,75,IT,1546566600,59,41.19,16.67,37.4,18.34
186,pevek,64,RU,1546568315,83,69.7,170.27,-9.05,17.49
187,linxia,44,CN,1546568315,45,35.6,103.21,16.92,2.73
188,praia da vitoria,75,PT,1546567200,93,38.73,-27.07,60.8,13.13
189,bukavu,32,CD,1546568316,100,-2.51,28.86,55.13,2.28
190,tokmak,88,UA,1546568317,88,47.26,35.7,22.95,9.44
191,kurilsk,64,RU,1546568318,100,45.23,147.88,29.75,15.93
192,bambous virieux,40,MU,1546567200,94,-20.34,57.76,77.0,2.24
193,bondoukou,0,CI,1546568319,66,8.04,-2.8,68.18,2.73
194,hami,36,CN,1546568319,70,42.84,93.51,10.17,6.64
195,mandasa,0,IN,1546568320,99,18.87,84.46,72.86,5.41
196,darab,0,IR,1546568321,72,28.75,54.55,41.9,2.73
197,gushi,92,CN,1546568321,100,32.17,115.65,39.15,5.19
198,ajdabiya,92,LY,1546568322,97,30.75,20.22,49.55,3.51
199,ancud,75,CL,1546563600,87,-41.87,-73.83,53.6,6.93
200,katsuyama,20,JP,1546563600,56,36.06,136.5,44.6,6.93
201,burlington,75,CA,1546563600,100,43.32,-79.8,35.6,16.11
202,solntsevo,88,RU,1546568324,92,53.34,40.13,26.56,6.2
203,bonavista,20,CA,1546568325,100,48.65,-53.11,14.58,10.22
204,chitrakonda,0,IN,1546568326,73,18.12,82.08,61.97,2.95
205,pihuamo,40,MX,1546566000,60,19.25,-103.38,75.2,2.62
206,barceloneta,20,PR,1546566960,73,18.45,-66.54,77.0,4.7
207,quatre cocos,40,MU,1546567200,94,-20.21,57.76,77.0,2.24
208,belle fourche,1,US,1546568100,45,44.67,-103.85,46.4,11.41
209,lisakovsk,12,KZ,1546568329,62,52.55,62.49,-13.41,3.06
210,tadine,0,NC,1546568330,91,-21.55,167.88,78.71,22.86
211,sovetskiy,76,RU,1546568331,85,56.76,48.47,16.92,10.22
212,airai,88,TL,1546568332,60,-8.93,125.41,83.52,1.61
213,dikson,68,RU,1546568333,87,73.51,80.55,2.52,6.08
214,bonga,0,ET,1546568334,80,7.26,36.25,57.16,1.95
215,nadbai,0,IN,1546568335,71,27.22,77.2,49.28,2.62
216,sibut,64,CF,1546568335,70,5.73,19.09,76.73,1.95
217,college,20,US,1546565340,81,64.86,-147.8,-10.31,3.4
218,cockburn town,88,TC,1546568337,99,21.46,-71.14,79.07,20.51
219,kotaparh,0,IN,1546568352,74,19.15,82.35,60.4,3.18
220,severo-kurilsk,48,RU,1546568353,100,50.68,156.12,25.97,14.81
221,faanui,8,PF,1546568354,100,-16.48,-151.75,83.57,3.85
222,bougouni,0,ML,1546568354,46,11.42,-7.49,61.61,6.2
223,jieshi,12,CN,1546568355,85,22.82,115.83,66.79,15.26
224,laguna,20,MX,1546566240,38,27.52,-110.01,59.0,4.7
225,kattivakkam,20,IN,1546565400,94,13.22,80.32,69.8,3.36
226,lompoc,1,US,1546566960,74,34.64,-120.46,53.06,3.18
227,aneho,20,TG,1546563600,83,6.23,1.6,82.4,4.7
228,belmonte,8,PT,1546568359,67,40.36,-7.35,21.47,2.73
229,sitka,0,US,1546568361,72,37.17,-99.65,24.4,7.99
230,mehamn,92,NO,1546568361,94,71.03,27.85,21.15,3.74
231,alamogordo,1,US,1546567080,49,32.9,-105.96,35.6,6.93
232,rodrigues alves,0,BR,1546563600,94,-7.74,-72.65,75.2,4.85
233,talnakh,44,RU,1546568363,64,69.49,88.39,0.0,11.23
234,vila velha,40,BR,1546567200,78,-3.71,-38.6,82.4,14.99
235,omsukchan,20,RU,1546568364,68,62.53,155.8,-17.23,7.76
236,progreso,0,UY,1546567200,63,-34.68,-56.22,60.8,4.7
237,yamada,20,JP,1546563600,55,36.58,137.08,44.6,8.05
238,bani,8,PH,1546568366,73,15.89,120.27,83.03,14.25
239,san jeronimo,92,PE,1546568367,94,-13.65,-73.37,46.17,1.5
240,lumut,68,ID,1546568367,89,-8.46,120.34,77.72,5.41
241,tura,0,IN,1546568368,83,25.52,90.21,59.45,3.29
242,gisborne,0,NZ,1546568082,62,-38.66,178.02,72.45,17.72
243,port moresby,90,PG,1546563600,94,-9.47,147.16,77.0,12.75
244,aswan,0,EG,1546568369,100,24.09,32.9,40.69,6.98
245,cayenne,80,GF,1546565400,88,4.94,-52.33,78.8,9.17
246,filadelfia,48,PY,1546568370,79,-22.35,-60.04,80.96,5.64
247,sorland,92,NO,1546568371,100,67.67,12.69,41.4,10.67
248,tripoli,92,GR,1546568372,96,37.51,22.37,30.02,1.5
249,chapayevka,44,RU,1546565400,49,53.06,158.83,3.2,6.71
250,grand gaube,40,MU,1546567200,94,-20.01,57.66,77.0,2.24
251,whitefish,90,US,1546563300,79,48.41,-114.33,39.02,8.05
252,campos do jordao,75,BR,1546567200,100,-22.74,-45.59,71.6,4.7
253,san francisco,75,US,1546566960,58,37.78,-122.42,53.96,5.64
254,iquitos,75,PE,1546563600,88,-3.75,-73.25,75.2,3.36
255,saint-junien,0,FR,1546565400,70,45.89,0.9,32.0,12.75
256,kishtwar,64,IN,1546568376,39,33.31,75.77,22.32,2.51
257,nome,90,US,1546567200,84,30.04,-94.42,48.92,12.75
258,saint anthony,90,US,1546566960,84,43.97,-111.68,21.02,2.39
259,gibara,20,CU,1546563000,69,21.11,-76.13,75.2,10.29
260,salalah,0,OM,1546563000,72,17.01,54.1,66.2,3.36
261,jumla,0,NP,1546568380,49,29.28,82.18,10.67,1.39
262,narsaq,92,GL,1546568380,77,60.91,-46.05,21.79,8.21
263,waimana,0,NZ,1546568381,23,-38.14,177.08,86.5,2.95
264,nadvoitsy,76,RU,1546568397,75,63.89,34.27,7.83,6.64
265,agadir,0,MA,1546565400,100,30.42,-9.58,42.8,6.93
266,madimba,40,CM,1546563600,94,4.42,9.93,78.8,2.24
267,aksarka,12,RU,1546568399,85,66.56,67.8,12.6,10.78
268,buraydah,0,SA,1546563600,81,26.33,43.97,48.2,5.41
269,agidel,76,RU,1546568401,85,55.9,53.94,14.45,7.76
270,umm lajj,44,SA,1546568401,100,25.02,37.27,56.3,7.65
271,omboue,48,GA,1546568402,100,-1.57,9.26,80.29,1.16
272,migori,20,KE,1546568403,100,-1.07,34.47,64.81,2.62
273,saint george,90,GR,1546566600,90,39.45,22.34,33.8,9.17
274,thinadhoo,92,MV,1546568405,100,0.53,72.93,81.86,12.24
275,iqaluit,5,CA,1546563600,74,63.75,-68.52,-22.01,2.24
276,san patricio,12,PY,1546568406,97,-26.98,-56.83,77.27,2.17
277,gizo,0,IL,1546566600,71,31.8,34.94,51.8,6.93
278,auki,0,NG,1546568407,53,12.18,6.51,58.91,4.74
279,chengzihe,0,CN,1546568407,53,45.35,131.0,19.17,9.1
280,neuquen,0,AR,1546563600,46,-38.95,-68.06,71.6,3.36
281,namibe,36,AO,1546568408,100,-15.19,12.15,74.3,2.95
282,am timan,12,TD,1546568409,31,11.04,20.28,70.3,10.56
283,tabou,36,CI,1546568410,98,4.42,-7.36,83.03,9.22
284,broome,0,GB,1546566960,86,52.47,1.45,33.8,3.36
285,sur,0,OM,1546568411,100,22.57,59.53,71.06,2.62
286,longyearbyen,20,NO,1546566600,78,78.22,15.63,15.8,1.12
287,timizart,92,DZ,1546568412,100,36.8,4.25,43.3,1.83
288,jaguaruna,100,BR,1546568413,99,-28.62,-49.03,73.85,8.66
289,carauari,24,BR,1546568414,97,-4.88,-66.9,74.3,2.62
290,lagoa,20,PT,1546567200,87,37.14,-8.45,53.6,6.93
291,kupang,75,ID,1546565400,70,-10.16,123.6,87.8,9.17
292,vestmannaeyjar,100,IS,1546568416,93,63.44,-20.27,47.88,22.53
293,the valley,20,AI,1546563600,78,18.22,-63.06,77.0,10.29
294,boa vista,0,BR,1546567200,65,2.82,-60.67,82.4,12.75
295,hofn,92,IS,1546568418,88,64.25,-15.21,45.32,16.04
296,visnes,76,NO,1546566600,93,59.36,5.22,42.8,10.29
297,magadan,0,RU,1546568420,100,59.56,150.8,2.03,17.16
298,nalgonda,0,IN,1546568421,81,17.05,79.27,65.8,2.95
299,dong xoai,88,VN,1546568422,83,11.53,106.92,79.88,1.5
300,samarai,24,PG,1546568423,100,-10.62,150.67,82.81,24.87
301,ganzhou,92,CN,1546568423,100,25.86,114.93,45.05,3.51
302,benguela,20,AO,1546568424,100,-12.58,13.4,73.9,2.17
303,brigantine,1,US,1546566960,72,39.41,-74.36,39.92,8.05
304,pundaguitan,56,PH,1546568425,99,6.37,126.17,82.67,9.89
305,bosaso,80,SO,1546568132,100,11.28,49.18,74.52,7.76
306,sao filipe,32,CV,1546568426,96,14.9,-24.5,73.62,11.01
307,tolaga bay,0,NZ,1546568442,62,-38.37,178.3,72.45,17.72
308,kudahuvadhoo,20,MV,1546568443,100,2.67,72.89,82.22,10.0
309,palmer,0,AU,1546565400,64,-34.85,139.16,73.4,23.04
310,labuhan,44,ID,1546568444,74,-2.54,115.51,86.22,3.29
311,esperance,20,TT,1546563600,83,10.24,-61.45,77.0,9.17
312,ponta do sol,80,BR,1546568446,97,-20.63,-46.0,67.32,3.06
313,wanaka,56,NZ,1546568446,38,-44.7,169.14,67.95,6.31
314,mut,92,TR,1546568431,94,36.64,33.44,45.41,7.31
315,souillac,0,FR,1546565400,74,45.6,-0.6,33.8,10.29
316,jaumave,24,MX,1546568449,94,23.41,-99.38,47.12,1.16
317,newport,90,GB,1546566600,86,51.59,-3.0,32.0,3.36
318,portel,40,PT,1546567200,100,38.31,-7.71,42.8,4.7
319,thai binh,90,VN,1546565400,100,20.45,106.33,59.0,1.12
320,silvi,80,IT,1546563540,100,42.55,14.12,35.6,16.11
321,cravo norte,100,CO,1546568451,45,6.3,-70.2,87.8,9.78
322,lumphat,44,KH,1546568452,62,13.5,106.97,84.6,4.18
323,tari,0,NG,1546568453,39,12.41,4.49,60.75,8.66
324,kulhudhuffushi,0,MV,1546568453,100,6.62,73.07,82.4,10.33
325,flinders,0,AU,1546563600,48,-34.58,150.85,86.0,10.29
326,tubuala,20,PA,1546567200,83,9.52,-79.03,75.2,3.36
327,murgab,90,TM,1546563600,93,37.5,61.97,42.8,6.93
328,meulaboh,12,ID,1546568456,100,4.14,96.13,80.56,3.96
329,makakilo city,1,US,1546563420,45,21.35,-158.09,82.94,11.41
330,bayir,75,TR,1546566600,70,37.27,28.22,48.2,4.7
331,chapais,90,CA,1546566780,92,49.78,-74.86,12.2,8.05
332,half moon bay,75,US,1546566960,58,37.46,-122.43,53.96,3.96
333,anadyr,20,RU,1546565400,73,64.73,177.51,-34.61,15.66
334,hutchinson,1,US,1546566960,78,38.06,-97.93,35.96,4.7
335,la ronge,5,CA,1546563600,63,55.1,-105.3,28.4,8.05
336,ongandjera,8,NA,1546568464,90,-17.88,15.07,67.28,2.17
337,akcakoca,12,TR,1546568465,77,41.09,31.12,39.92,6.87
338,pringsewu,48,ID,1546568466,74,-5.36,104.98,83.66,2.51
339,manta,12,RO,1546568467,73,45.1,24.1,5.13,2.84
340,yongan,0,CN,1546568468,32,39.7,113.69,12.79,3.62
341,timaru,76,NZ,1546568469,74,-44.39,171.25,64.18,8.77
342,mandera,0,ET,1546568469,69,3.94,41.86,69.8,3.4
343,torbay,90,CA,1546563600,84,47.66,-52.73,8.6,11.41
344,monterey,1,US,1546567200,58,36.6,-121.89,57.02,5.82
345,lekoni,68,GA,1546568471,98,-1.58,14.26,68.85,6.42
346,obo,0,CF,1546568472,58,5.39,26.49,62.78,8.21
347,yenotayevka,92,RU,1546568472,99,47.24,47.04,32.4,14.81
348,morondava,8,MG,1546568473,100,-20.3,44.28,76.73,3.06
349,haines junction,8,CA,1546568489,67,60.75,-137.51,-7.52,2.06
350,fort morgan,0,US,1546569000,52,40.25,-103.8,34.52,3.29
351,saint-joseph,0,FR,1546565400,92,43.56,6.97,28.4,3.62
352,ewa beach,1,US,1546563420,45,21.32,-158.01,82.94,11.41
353,okha,32,RU,1546568491,86,53.59,142.95,12.47,22.41
354,poninka,92,UA,1546568491,89,50.19,27.56,25.43,6.42
355,almansa,90,ES,1546563600,100,38.87,-1.1,37.4,3.36
356,zapolyarnyy,76,RU,1546566600,92,69.43,30.82,17.6,13.87
357,namatanai,56,PG,1546568494,100,-3.66,152.44,83.21,13.91
358,kunming,90,CN,1546563600,93,25.04,102.71,42.8,11.18
359,belaya gora,12,RU,1546568495,26,68.54,146.19,-17.68,7.65
360,villacarrillo,0,ES,1546568496,89,38.12,-3.08,23.18,3.62
361,grindavik,90,IS,1546567200,100,63.84,-22.43,50.0,23.04
362,mitsamiouli,48,KM,1546568497,100,-11.38,43.28,80.37,8.21
363,forestville,90,CA,1546565460,84,48.74,-69.09,6.8,5.82
364,fomboni,76,KM,1546568498,100,-12.28,43.74,82.62,10.11
365,tiarei,20,PF,1546567200,59,-17.53,-149.33,89.6,6.93
366,shingu,20,JP,1546563600,56,33.72,135.99,44.6,3.36
367,semirom,0,IR,1546568501,68,31.41,51.57,11.12,2.39
368,touros,40,BR,1546567200,83,-5.2,-35.46,78.8,4.7
369,mozarlandia,0,BR,1546568502,48,-14.74,-50.57,77.41,7.2
370,north bay,90,CA,1546565580,92,46.31,-79.46,26.6,5.82
371,atar,24,MR,1546568503,42,20.52,-13.05,48.79,7.31
372,carballo,90,ES,1546565400,84,43.21,-8.69,32.0,6.93
373,pangnirtung,24,CA,1546568505,30,66.15,-65.72,-21.06,1.39
374,msanga,32,TZ,1546568505,90,-6.04,36.03,63.32,2.51
375,niquelandia,0,BR,1546568506,77,-14.47,-48.46,69.8,2.73
376,chauk,0,MM,1546568507,79,20.89,94.82,69.71,4.63
377,acapulco,20,MX,1546566540,74,16.86,-99.88,80.6,4.7
378,rabat,0,MA,1546567200,100,34.02,-6.83,46.4,3.36
379,hobbs,1,US,1546568100,43,32.7,-103.14,35.6,8.05
380,alexandria,90,US,1546566840,96,31.31,-92.44,50.72,14.99
381,maralal,0,KE,1546568510,85,1.1,36.7,54.23,4.52
382,dingle,88,PH,1546568511,89,11.0,122.67,78.26,15.7
383,abu samrah,20,SY,1546568511,90,35.3,37.18,43.97,9.66
384,chunoyar,44,RU,1546568512,59,57.45,97.32,-6.88,3.06
385,kamaishi,75,JP,1546563600,73,39.28,141.86,32.0,1.12
386,miquelon,64,PM,1546568513,100,47.1,-56.38,23.22,2.39
